org_text,clean_text,start_time,signer_id,signer,start,end,file,label,height,fps,end_time,url,text,box,width,review,url_id
GIVE (alternative),give,0.0,0,-1,0,49,GIVE (alternative),288,360,25.0,1.96,https://www.youtube.com/watch?v=7G6B6kaMjb4,give,"[0.015200853347778001, 0.20926496386528, 0.9955700039863581, 0.8501784801483151]",480,,21
shock-[BRAIN-FREEZE],shock,0.0,0,-1,0,75,shock-BRAIN-FREEZE,589,360,29.98,2.5020000000000002,https://www.youtube.com/watch?v=XCiFsGrb_Nk,shock,"[0.079988330602645, 0.22411012649536102, 1.0, 0.8156325817108151]",640,,22
PUERTO-RICO,puerto rico,0.0,0,0,0,86,PUERTO-RICO,982,360,29.97,2.87,https://www.youtube.com/watch?v=NNZD9RAgL4w,puerto rico,"[0.064980238676071, 0.22959160804748502, 1.0, 0.8081696033477781]",640,,23
Breakfast  ,breakfast,0.0,5,-1,0,73,ASL Breakfast  ,329,360,25.0,2.92,https://www.youtube.com/watch?v=bUezx9Zp16E,breakfast,"[0.181189507246017, 0.24938979744911102, 1.0, 0.79908263683319]",640,,25
Day,day,26.015,6,-1,647,676,LASL - Ch 6 Vocab,72,358,24.87,27.181,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,"[0.0030470788478850004, 0.16077789664268402, 0.8473350405693051, 0.7222738265991211]",640,1.0,26
Day,day,27.181,6,-1,676,731,LASL - Ch 6 Vocab,72,358,24.87,29.393,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,"[0.0030470788478850004, 0.16077789664268402, 0.8473350405693051, 0.7222738265991211]",640,1.0,26
Day,day,31.765,6,-1,790,817,LASL - Ch 6 Vocab,72,358,24.87,32.851,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,"[0.0030470788478850004, 0.16077789664268402, 0.8473350405693051, 0.7222738265991211]",640,1.0,26
Day,day,59.268,6,-1,1474,1501,LASL - Ch 6 Vocab,72,358,24.87,60.354,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,"[0.013848125934600001, 0.19079384207725503, 0.8634046316146851, 0.728234052658081]",640,,26
Afternoon,afternoon,85.042,6,-1,2115,2149,LASL - Ch 6 Vocab,220,358,24.87,86.409,https://www.youtube.com/watch?v=jQb9NL9_S6U,afternoon,"[0.005118787288665, 0.15169969201087902, 0.8437644243240351, 0.658737778663635]",640,,26
Afternoon,afternoon,87.897,6,-1,2186,2269,LASL - Ch 6 Vocab,220,358,24.87,91.234,https://www.youtube.com/watch?v=jQb9NL9_S6U,afternoon,"[0.008230000734329, 0.08219581842422401, 0.8310046195983881, 0.7094879150390621]",640,,26
Afternoon,afternoon,92.199,6,-1,2293,2327,LASL - Ch 6 Vocab,220,358,24.87,93.566,https://www.youtube.com/watch?v=jQb9NL9_S6U,afternoon,"[0.000354021787643, 0.17943048477172802, 0.8313794136047361, 0.78972327709198]",640,,26
Happy (1 handed),happy,179.01,6,-1,4452,4527,LASL - Ch 6 Vocab,5,358,24.87,182.026,https://www.youtube.com/watch?v=jQb9NL9_S6U,happy,"[0.0, 0.153378307819366, 0.8391363024711601, 0.7540593743324281]",640,,26
Sad,sad,192.882,6,-1,4797,4907,LASL - Ch 6 Vocab,27,358,24.87,197.305,https://www.youtube.com/watch?v=jQb9NL9_S6U,sad,"[0.004947155714035, 0.16673859953880302, 0.8396331071853631, 0.7053645849227901]",640,1.0,26
Sad,sad,199.919,6,-1,4972,5010,LASL - Ch 6 Vocab,27,358,24.87,201.447,https://www.youtube.com/watch?v=jQb9NL9_S6U,sad,"[0.004947155714035, 0.16673859953880302, 0.8396331071853631, 0.7053645849227901]",640,1.0,26
Nervous (2 ways),nervous,232.85,6,-1,5791,5836,LASL - Ch 6 Vocab,307,358,24.87,234.659,https://www.youtube.com/watch?v=jQb9NL9_S6U,nervous,"[0.0, 0.10074132680892901, 0.8756613731384271, 0.756272554397583]",640,1.0,26
Nervous (2 ways),nervous,238.761,6,-1,5938,5973,LASL - Ch 6 Vocab,307,358,24.87,240.168,https://www.youtube.com/watch?v=jQb9NL9_S6U,nervous,"[0.0, 0.10074132680892901, 0.8756613731384271, 0.756272554397583]",640,1.0,26
Upset,upset,242.902,6,-1,6041,6208,LASL - Ch 6 Vocab,876,358,24.87,249.617,https://www.youtube.com/watch?v=jQb9NL9_S6U,upset,"[0.005143254995346001, 0.128405258059501, 0.85231864452362, 0.6992084383964531]",640,,26
Want (mouth “WA“),want,385.765,6,-1,9594,9751,LASL - Ch 6 Vocab,8,358,24.87,392.077,https://www.youtube.com/watch?v=jQb9NL9_S6U,want,"[0.008866041898727, 0.11897420883178701, 0.843058705329895, 0.7124172449111931]",640,,26
Know,know,403.738,6,-1,10041,10111,LASL - Ch 6 Vocab,97,358,24.87,406.553,https://www.youtube.com/watch?v=jQb9NL9_S6U,know,"[0.0033957362174980004, 0.129135578870773, 0.834949493408203, 0.7033343315124511]",640,,26
Know,know,407.92,6,-1,10145,10175,LASL - Ch 6 Vocab,97,358,24.87,409.126,https://www.youtube.com/watch?v=jQb9NL9_S6U,know,"[0.043420851230621005, 0.13719120621681202, 0.8318990468978881, 0.7059469223022461]",640,,26
Must,must,433.452,6,-1,10780,10870,LASL - Ch 6 Vocab,29,358,24.87,437.071,https://www.youtube.com/watch?v=jQb9NL9_S6U,need,"[0.0, 0.081183195114135, 0.850859522819519, 0.770865440368652]",640,1.0,26
How (2 ways),how,489.182,6,-1,12166,12357,LASL - Ch 6 Vocab,59,358,24.87,496.862,https://www.youtube.com/watch?v=jQb9NL9_S6U,how,"[0.020042300224304, 0.15749734640121402, 0.844112515449523, 0.7163067460060121]",640,,26
Wow,wow,612.221,6,-1,15226,15409,LASL - Ch 6 Vocab,227,358,24.87,619.58,https://www.youtube.com/watch?v=jQb9NL9_S6U,wow,"[0.0, 0.09258839488029401, 0.837770342826843, 0.704167485237121]",640,,26
Wow,wow,619.66,6,-1,15411,15459,LASL - Ch 6 Vocab,227,358,24.87,621.59,https://www.youtube.com/watch?v=jQb9NL9_S6U,wow,"[0.016192376613616, 0.152200877666473, 0.833198487758636, 0.6844623088836671]",640,,26
Pass,pass,689.101,6,-1,17138,17161,LASL - Ch 6 Vocab,566,358,24.87,690.026,https://www.youtube.com/watch?v=jQb9NL9_S6U,pass,"[0.007081180810928, 0.18906018137931802, 0.8475743532180781, 0.698963165283203]",640,,26
Pass,pass,691.192,6,-1,17190,17304,LASL - Ch 6 Vocab,566,358,24.87,695.776,https://www.youtube.com/watch?v=jQb9NL9_S6U,pass,"[0.0, 0.192237809300422, 0.8311377763748161, 0.7067743539810181]",640,,26
think,think,0.0,0,0,0,77,think,345,360,29.97,2.569,https://www.youtube.com/watch?v=Y5q-PccHNHo,think,"[0.098858207464218, 0.12402242422103801, 0.9723662137985231, 0.77524584531784]",540,,27
teacher ,teacher,13.995,144,-1,419,464,teacher - ASL sign for teacher,2,360,29.94,15.498,https://www.youtube.com/watch?v=_HOx2QkkTsg,teacher,"[0.045998364686965006, 0.037116646766662, 1.0, 0.9313695430755611]",480,1.0,29
teacher ,teacher,15.498,144,-1,464,510,teacher - ASL sign for teacher,2,360,29.94,17.034,https://www.youtube.com/watch?v=_HOx2QkkTsg,teacher,"[0.045998364686965006, 0.037116646766662, 1.0, 0.9313695430755611]",480,1.0,29
Deaf,deaf,0.0,38,52,0,107,Deaf in American Sign Language,9,270,29.917,3.577,www.youtube.com/watch?v=IgT0jDp56ZM,deaf,"[0.033616244792938, 0.27784588932991, 1.0, 0.711226046085357]",480,,30
university,university,0.0,62,-1,0,96,Sign for UNIVERSITY from page 14,378,360,30.0,3.2,https://www.youtube.com/watch?v=jrQalROeZtg,university,"[0.063923180103302, 0.20402888953685702, 1.0, 0.8688298463821411]",640,,31
FIX-[fingerspelled version],fix,0.0,0,0,0,79,FIX-fingerspelled version,759,720,29.97,2.636,https://www.youtube.com/watch?v=FL6MaUJmIkA,fix,"[0.017094999551773002, 0.273773968219757, 1.0, 0.752665162086486]",1280,,32
clock,clock,0.0,0,0,0,77,clock(2),735,360,29.97,2.569,https://www.youtube.com/watch?v=pAoM56DCisM,clock,"[0.06248387694358801, 0.21971645951271002, 1.0, 0.7641385793685911]",640,,33
there,there,0.0,2,33,0,148,There,515,360,29.603,5.0,https://www.youtube.com/watch?v=5WevUel4BPk,there,"[0.0, 0.009079158306121, 1.0, 0.88167381286621]",640,,34
next week,next week,0.0,2,11,0,116,Next Week,331,360,29.645,3.913,https://www.youtube.com/watch?v=I1o0fccwWSg,next week,"[0.0, 0.13979989290237402, 1.0, 0.8841031789779661]",640,,35
SICK,sick,0.0,0,0,0,78,SICK,63,720,29.97,2.603,https://www.youtube.com/watch?v=NBqpHJiufXU,sick,"[0.057004362344741, 0.219485610723495, 1.0, 0.75902384519577]",1280,,37
MEAT,meat,0.0,0,-1,0,90,MEAT(2),349,360,25.0,3.6,https://www.youtube.com/watch?v=Bn7j1v1ksl0,meat,"[0.058519661426544, 0.127111881971359, 0.9460144042968751, 0.854427456855773]",480,,38
essential-[IMPORTANT],important,0.0,0,-1,0,75,essential-IMPORTANT(1),624,360,29.98,2.5020000000000002,https://www.youtube.com/watch?v=V_dT923VQ70,important,"[0.072821706533432, 0.20127183198928802, 1.0, 0.8370203971862791]",640,,39
MOM,mother,4.805,8,20,144,198,Basic ASL Vocabulary for Babies,19,360,29.97,6.607,https://www.youtube.com/watch?v=htsdwxJ-fTo,mother,"[0.09814456105232201, 0.319363355636596, 1.0, 0.762222528457641]",640,,41
DAD,father,7.207,8,20,216,284,Basic ASL Vocabulary for Babies,31,360,29.97,9.476,https://www.youtube.com/watch?v=htsdwxJ-fTo,father,"[0.050201058387756, 0.18864178657531702, 1.0, 0.7611669301986691]",640,,41
MILK,milk,10.077,8,20,302,369,Basic ASL Vocabulary for Babies,32,360,29.97,12.312,https://www.youtube.com/watch?v=htsdwxJ-fTo,milk,"[0.10222285985946601, 0.29755625128746005, 1.0, 0.7607537508010861]",640,,41
EAT,eat,12.913,8,20,387,452,Basic ASL Vocabulary for Babies,3,360,29.97,15.082,https://www.youtube.com/watch?v=htsdwxJ-fTo,eat,"[0.09897658228874201, 0.294420778751373, 1.0, 0.7674044370651241]",640,,41
DRINK,drink,15.682,8,20,470,511,Basic ASL Vocabulary for Babies,56,360,29.97,17.05,https://www.youtube.com/watch?v=htsdwxJ-fTo,drink,"[0.101890444755554, 0.315162986516952, 1.0, 0.743628799915313]",640,,41
HOT,hot,17.651,8,20,529,596,Basic ASL Vocabulary for Babies,135,360,29.97,19.887,https://www.youtube.com/watch?v=htsdwxJ-fTo,hot,"[0.09800726175308201, 0.30825996398925704, 1.0, 0.753625273704528]",640,,41
COLD,cold,20.521,8,20,615,685,Basic ASL Vocabulary for Babies,177,360,29.97,22.856,https://www.youtube.com/watch?v=htsdwxJ-fTo,cold,"[0.10192084312438901, 0.28104120492935103, 1.0, 0.7681668400764461]",640,,41
MORE,more,23.457,8,20,703,756,Basic ASL Vocabulary for Babies,164,360,29.97,25.225,https://www.youtube.com/watch?v=htsdwxJ-fTo,more,"[0.09371855854988001, 0.319138586521148, 1.0, 0.761615216732025]",640,,41
HELP,help,25.826,8,20,774,837,Basic ASL Vocabulary for Babies,50,360,29.97,27.928,https://www.youtube.com/watch?v=htsdwxJ-fTo,help,"[0.10067668557167, 0.31587958335876404, 1.0, 0.7500115036964411]",640,,41
CLOTHES,clothes,30.964,8,20,928,992,Basic ASL Vocabulary for Babies,444,360,29.97,33.1,https://www.youtube.com/watch?v=htsdwxJ-fTo,clothes,"[0.077105432748794, 0.224875569343566, 1.0, 0.8538689613342281]",640,,41
YOU,you,41.408,8,20,1241,1301,Basic ASL Vocabulary for Babies,68,360,29.97,43.41,https://www.youtube.com/watch?v=htsdwxJ-fTo,you,"[0.10208573937416, 0.32380735874176003, 1.0, 0.7578179836273191]",640,,41
YOURS,your,44.044,8,20,1320,1381,Basic ASL Vocabulary for Babies,101,360,29.97,46.079,https://www.youtube.com/watch?v=htsdwxJ-fTo,your,"[0.098623067140579, 0.325809210538864, 1.0, 0.768312513828277]",640,,41
DOWN,down,49.416,8,20,1481,1558,Basic ASL Vocabulary for Babies,914,360,29.97,51.985,https://www.youtube.com/watch?v=htsdwxJ-fTo,down,"[0.10306897759437501, 0.24683454632759003, 1.0, 0.764061689376831]",640,,41
HURT,hurt,52.586,8,20,1576,1649,Basic ASL Vocabulary for Babies,76,360,29.97,55.022,https://www.youtube.com/watch?v=htsdwxJ-fTo,hurt,"[0.104097425937652, 0.29677397012710505, 1.0, 0.767261326313018]",640,,41
AGAIN,again,55.622,8,20,1667,1739,Basic ASL Vocabulary for Babies,26,360,29.97,58.025,https://www.youtube.com/watch?v=htsdwxJ-fTo,again,"[0.09794795513153001, 0.20276266336441, 1.0, 0.782269656658172]",640,,41
WANT,want,58.659,8,20,1758,1823,Basic ASL Vocabulary for Babies,8,360,29.97,60.827,https://www.youtube.com/watch?v=htsdwxJ-fTo,want,"[0.11185941100120501, 0.330512195825576, 1.0, 0.770612776279449]",640,,41
LIKE,like,61.428,8,20,1841,1918,Basic ASL Vocabulary for Babies,6,360,29.97,63.997,https://www.youtube.com/watch?v=htsdwxJ-fTo,like,"[0.078220903873443, 0.30737364292144703, 1.0, 0.759088039398193]",640,,41
DON'T LIKE,not like,64.665,8,20,1938,2009,Basic ASL Vocabulary for Babies,165,360,29.97,67.034,https://www.youtube.com/watch?v=htsdwxJ-fTo,not like,"[0.08520027995109501, 0.295111984014511, 1.0, 0.753505945205688]",640,,41
MAD,mad,67.634,8,20,2027,2097,Basic ASL Vocabulary for Babies,152,360,29.97,69.97,https://www.youtube.com/watch?v=htsdwxJ-fTo,mad,"[0.10384419560432401, 0.331641018390655, 1.0, 0.7619771957397461]",640,,41
FUNNY,funny,73.54,8,20,2204,2270,Basic ASL Vocabulary for Babies,327,360,29.97,75.742,https://www.youtube.com/watch?v=htsdwxJ-fTo,funny,"[0.121793448925018, 0.34828492999076804, 1.0, 0.7632069587707521]",640,,41
SILLY,silly,76.343,8,20,2288,2355,Basic ASL Vocabulary for Babies,698,360,29.97,78.579,https://www.youtube.com/watch?v=htsdwxJ-fTo,silly,"[0.09579953551292401, 0.309786200523376, 1.0, 0.756724596023559]",640,,41
SAD,sad,79.212,8,20,2374,2432,Basic ASL Vocabulary for Babies,27,360,29.97,81.148,https://www.youtube.com/watch?v=htsdwxJ-fTo,sad,"[0.098337978124618, 0.31710702180862405, 1.0, 0.7486694455146791]",640,,41
HUNGRY,hungry,81.848,8,20,2453,2524,Basic ASL Vocabulary for Babies,54,360,29.97,84.217,https://www.youtube.com/watch?v=htsdwxJ-fTo,hungry,"[0.079328924417495, 0.323409736156463, 1.0, 0.7405645847320551]",640,,41
FULL,full,84.818,8,20,2542,2605,Basic ASL Vocabulary for Babies,384,360,29.97,86.92,https://www.youtube.com/watch?v=htsdwxJ-fTo,full,"[0.095613151788711, 0.23849010467529203, 1.0, 0.734512627124786]",640,,41
TIRED,tired,89.923,8,20,2695,2763,Basic ASL Vocabulary for Babies,16,360,29.97,92.192,https://www.youtube.com/watch?v=htsdwxJ-fTo,tired,"[0.100097507238388, 0.282524347305297, 1.0, 0.791780829429626]",640,,41
WHERE?,where,92.793,8,20,2781,2849,Basic ASL Vocabulary for Babies,30,360,29.97,95.062,https://www.youtube.com/watch?v=htsdwxJ-fTo,where,"[0.10852023959159801, 0.28928503394126803, 1.0, 0.766975283622741]",640,,41
BOOK,book,95.696,8,20,2868,2925,Basic ASL Vocabulary for Babies,38,360,29.97,97.597,https://www.youtube.com/watch?v=htsdwxJ-fTo,book,"[0.09992429614067001, 0.355548620223999, 1.0, 0.721979081630706]",640,,41
DIRTY,dirty,98.231,8,20,2944,2999,Basic ASL Vocabulary for Babies,260,360,29.97,100.067,https://www.youtube.com/watch?v=htsdwxJ-fTo,dirty,"[0.10492846369743301, 0.329738020896911, 1.0, 0.768373906612396]",640,,41
PLAY,play,100.667,8,20,3017,3088,Basic ASL Vocabulary for Babies,85,360,29.97,103.036,https://www.youtube.com/watch?v=htsdwxJ-fTo,play,"[0.09545776247978201, 0.286917507648468, 0.998481392860412, 0.829728186130523]",640,,41
OUTSIDE,outside,103.67,8,20,3107,3179,Basic ASL Vocabulary for Babies,159,360,29.97,106.073,https://www.youtube.com/watch?v=htsdwxJ-fTo,outside,"[0.09409585595130901, 0.264237284660339, 1.0, 0.7651507854461671]",640,,41
HOME,home,106.74,8,20,3199,3260,Basic ASL Vocabulary for Babies,118,360,29.97,108.775,https://www.youtube.com/watch?v=htsdwxJ-fTo,home,"[0.107180744409561, 0.334102034568786, 1.0, 0.7593196034431451]",640,,41
SISTER,sister,109.376,8,20,3278,3333,Basic ASL Vocabulary for Babies,11,360,29.97,111.211,https://www.youtube.com/watch?v=htsdwxJ-fTo,sister,"[0.10761120915412901, 0.356805682182312, 1.0, 0.750196576118469]",640,,41
BROTHER,brother,111.812,8,20,3351,3417,Basic ASL Vocabulary for Babies,34,360,29.97,114.014,https://www.youtube.com/watch?v=htsdwxJ-fTo,brother,"[0.10308706760406401, 0.30046692490577703, 1.0, 0.754179775714874]",640,,41
GRANDMA,grandmother,114.648,8,20,3436,3492,Basic ASL Vocabulary for Babies,78,360,29.97,116.516,https://www.youtube.com/watch?v=htsdwxJ-fTo,grandmother,"[0.10765284299850401, 0.328895658254623, 1.0, 0.76054161787033]",640,,41
GRANDPA,grandfather,117.117,8,20,3510,3580,Basic ASL Vocabulary for Babies,92,360,29.97,119.453,https://www.youtube.com/watch?v=htsdwxJ-fTo,grandfather,"[0.114399939775466, 0.177905410528182, 1.0, 0.7571244239807121]",640,,41
AUNT,aunt,120.12,8,20,3600,3664,Basic ASL Vocabulary for Babies,132,360,29.97,122.255,https://www.youtube.com/watch?v=htsdwxJ-fTo,aunt,"[0.10410898923873901, 0.30984938144683805, 1.0, 0.7546220421791071]",640,,41
UNCLE,uncle,122.856,8,20,3682,3760,Basic ASL Vocabulary for Babies,126,360,29.97,125.459,https://www.youtube.com/watch?v=htsdwxJ-fTo,uncle,"[0.10683473944664001, 0.23219484090805, 1.0, 0.7538462281227111]",640,,41
COUSIN,cousin,126.059,8,20,3778,3845,Basic ASL Vocabulary for Babies,33,360,29.97,128.295,https://www.youtube.com/watch?v=htsdwxJ-fTo,cousin,"[0.11538979411125101, 0.295261085033416, 1.0, 0.7527939677238461]",640,,41
warm ,warm,6.506,144,-1,195,316,warm - ASL sign for warm,294,360,29.97,10.544,https://www.youtube.com/watch?v=3vH-22ZBt7w,warm,"[0.0, 0.041304022073745006, 1.0, 0.9708315134048461]",480,1.0,43
warm ,warm,13.113,144,-1,393,451,warm - ASL sign for warm,294,360,29.97,15.048,https://www.youtube.com/watch?v=3vH-22ZBt7w,warm,"[0.0, 0.041304022073745006, 1.0, 0.9708315134048461]",480,1.0,43
STAND,stand,0.0,173,4,0,53,STAND(2),493,360,29.97,1.768,https://www.youtube.com/watch?v=o1XWGA4KCNU,stand,"[0.0, 0.164977699518203, 1.0, 0.708778917789459]",636,,44
WAIT,wait,0.0,0,-1,0,79,WAIT(2),400,360,25.0,3.16,https://www.youtube.com/watch?v=Sy1FdTFzul8,wait,"[0.023699909448623, 0.138935416936874, 0.9930100440979001, 0.933118104934692]",480,,45
BUSINESS-[initialized version],business,0.0,0,0,0,56,BUSINESS-initialized version,495,360,29.974,1.868,https://www.youtube.com/watch?v=oQGNnu24SEE,business,"[0.059608668088912006, 0.23659512400627103, 1.0, 0.771836102008819]",640,,46
FIRE-(terminate)-[excommunicate] (index finger and flat hand version),fire,0.0,0,0,0,55,FIRE-(terminate)-excommunicate (index finger and flat hand version),534,720,29.97,1.835,https://www.youtube.com/watch?v=pWO_1CT3QWk,fire,"[0.07421958446502601, 0.25574314594268804, 1.0, 0.7162008881568901]",1280,,50
 home,home,0.0,112,-1,0,83,ASL Dictionary - Home,118,360,30.0,2.767,https://www.youtube.com/watch?v=B_H3Xg4XiB8,home,"[0.014282733201980001, 0.300671517848968, 1.0, 0.8116707801818841]",640,,51
any,any,0.0,0,0,0,80,any(1),962,360,29.97,2.669,www.youtube.com/watch?v=Dbq2emMTZE0,any,"[0.082756251096725, 0.095075339078903, 0.9729821681976311, 0.7585283517837521]",540,,52
WIN,win,0.0,0,0,0,65,WIN,451,720,25.0,2.6,https://www.youtube.com/watch?v=Yqom91cTkZE,win,"[0.071125268936157, 0.17766368389129603, 1.0, 0.708353459835052]",1280,,53
socks ,socks,2.339,144,-1,70,190,socks - ASL sign for socks,546,360,29.933,6.348,https://www.youtube.com/watch?v=oOJKizLq4jQ,socks,"[0.061796486377716, 0.19646897912025402, 1.0, 0.9921209812164301]",480,1.0,54
socks ,socks,6.348,144,-1,190,320,socks - ASL sign for socks,546,360,29.933,10.691,https://www.youtube.com/watch?v=oOJKizLq4jQ,socks,"[0.061796486377716, 0.19646897912025402, 1.0, 0.9921209812164301]",480,1.0,54
"GONE [ABSENT, RUN-OUT-OF], MISSING",gone,0.0,0,0,0,93,GONE ABSENT RUN-OUT-OF MISSING,436,360,29.97,3.103,https://www.youtube.com/watch?v=LA36HscT8Bo,gone,"[0.052856087684631, 0.27325338125228804, 1.0, 0.721897661685943]",640,,55
RUDE,rude,0.0,0,0,0,65,RUDE,296,720,29.97,2.169,https://www.youtube.com/watch?v=hlOPlBd6F5Q,rude,"[0.07449623942375101, 0.254297256469726, 1.0, 0.7139791250228881]",1280,,56
BAKE,bake,0.0,0,0,0,69,BAKE,460,360,29.97,2.302,https://www.youtube.com/watch?v=Q0vD9t1u5bI,bake,"[0.089182645082473, 0.271004557609558, 1.0, 0.7706492543220521]",640,,57
wine,wine,0.0,152,98,0,85,Wine - Asl,956,284,25.0,3.4,https://www.youtube.com/watch?v=d809az7DnpU,wine,"[0.113466322422027, 0.161879569292068, 0.9985974431037901, 0.472354620695114]",500,,59
NORWAY,norway,0.0,0,0,0,81,NORWAY,824,360,29.97,2.703,https://www.youtube.com/watch?v=FtAToIc1rAA,norway,"[0.06443873047828601, 0.18330940604209903, 1.0, 0.7475506067276001]",640,,60
Hearing,hearing,0.0,38,52,0,107,Hearing in American Sign Language,45,270,29.917,3.577,www.youtube.com/watch?v=djZwwts-OiA,hearing,"[0.024092614650726003, 0.20202375948429102, 1.0, 0.714348673820495]",480,,61
"BALL-(solid, massive)",ball,0.0,0,0,0,79,BALL-(solid massive),310,360,29.97,2.636,https://www.youtube.com/watch?v=e8pEvhbngbc,ball,"[0.089659124612808, 0.22779947519302302, 1.0, 0.755517840385437]",640,,64
25,25,0.0,0,-1,0,72,25,591,360,25.0,2.88,https://www.youtube.com/watch?v=atnHjWFYzds,25,"[0.126290619373321, 0.190797716379165, 0.8632881641387941, 0.8148622512817381]",480,,65
IN,in,0.0,0,0,0,102,IN,659,720,29.97,3.403,https://www.youtube.com/watch?v=YirRi12-zWo,in,"[0.006766200065612, 0.17453441023826602, 1.0, 0.727798640727996]",1280,,66
